url,address,neighborhood,rent,beds,baths,flexs
https://www.renthop.com/listings/216-west-102nd-street/5grh/15849160,"216 West 102nd Street, Apt 5GR...","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan","$2,695",1_Bed,1_Bath,
https://www.renthop.com/listings/225-east-39th-street/17i/15056829,"225 East 39th Street, Apt 17I","Murray Hill, Midtown Manhattan, Manhattan","$4,511",1_Bed,1_Bath,
https://www.renthop.com/listings/4545-center-boulevard/2317/14464301,"4545 Center Boulevard, Apt 231...","Hunters Point, Long Island City, Northwestern Queens, Queens","$3,172",1_Bed,1_Bath,
https://www.renthop.com/listings/271-west-47th-street/19c/15056859,"271 West 47th Street, Apt 19C","Theater District, Midtown Manhattan, Manhattan","$3,662",1_Bed,1_Bath,
https://www.renthop.com/listings/245-east-58th-street/4g/15864362,"245 East 58th Street, Apt 4G","Midtown East, Midtown Manhattan, Manhattan","$4,750",1_Bed,2_Bath,
https://www.renthop.com/listings/153-avenue-c/2r/15749757,"153 Avenue C, Apt 2R","Alphabet City, East Village, Downtown Manhattan, Manhattan","$2,165",1_Bed,1_Bath,
https://www.renthop.com/listings/233-naples-terrace/4b/15863734,"233 Naples Terrace, Apt 4B","Kingsbridge, West Bronx, Bronx","$2,295",3_Bed,1_Bath,
https://www.renthop.com/listings/10th-avenue/23h/15862391,10th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan","$4,995",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/thayer-street/e/15859784,Thayer Street,"Fort George, Washington Heights, Upper Manhattan, Manhattan","$1,550",Studio,1_Bath,/_Flex_1_
https://www.renthop.com/listings/534-east-85th-st/4b/15850121,"534 East 85th St, Apt 4B","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,650",1_Bed,1_Bath,
https://www.renthop.com/listings/east-39th-street/1604/15656114,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan","$3,600",1_Bed,1_Bath,
https://www.renthop.com/listings/e-14st/na/14808472,E 14st ,"East Village, Downtown Manhattan, Manhattan","$4,695",3_Bed,1_Bath,
https://www.renthop.com/listings/east-20s/b208/15595617,East 20's,"Kips Bay, Midtown Manhattan, Manhattan","$3,700",1_Bed,1_Bath,/_Flex_2_
https://www.renthop.com/listings/first-avenue/33/15761757,First Avenue,"Alphabet City, East Village, Downtown Manhattan, Manhattan","$4,831",2_Bed,1_Bath,/_Flex_3_
https://www.renthop.com/listings/w-50s/na/14584578,W 50's,"Hell's Kitchen, Midtown Manhattan, Manhattan","$5,295",2_Bed,2_Bath,/_Flex_4_
https://www.renthop.com/listings/east-16th-street/12-d/15850981,East 16th Street,"Gramercy Park, Midtown Manhattan, Manhattan","$5,400",1_Bed,1_Bath,
https://www.renthop.com/listings/350-east-79th-street/3d/15740744,"350 East 79th Street, Apt 3D","Upper East Side, Upper Manhattan, Manhattan","$8,495",2_Bed,2_Bath,/_Flex_3_
https://www.renthop.com/listings/229-231-east-12th-stret/33/15864287,"229-231 East 12th Stret, Apt 3...","East Village, Downtown Manhattan, Manhattan","$4,950",3_Bed,1_Bath,
https://www.renthop.com/listings/222-east-85th-st/1e/15864453,"222 East 85th, Apt 1E","Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,500",1_Bed,1_Bath,
https://www.renthop.com/listings/542-west-153rd-street/401/15843308,"542 West 153rd Street, Apt 401...","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan","$3,222",2_Bed,1_Bath,
https://www.renthop.com/listings/1370-saint-nicholas-ave/17r/15864353,"1370 Saint Nicholas Ave, Apt 1...","Washington Heights, Upper Manhattan, Manhattan","$3,495",3_Bed,2_Bath,
https://www.renthop.com/listings/wall-street/906/15863281,Wall Street ,"Financial District, Downtown Manhattan, Manhattan","$6,580",3_Bed,2_Bath,/_Flex_4_
https://www.renthop.com/listings/37-west-21st-st/na/14373722,37 West 21st,"Flatiron District, Midtown Manhattan, Manhattan","$4,595",1_Bed,1_Bath,
https://www.renthop.com/listings/greenwich-ave/3f/15415398,Greenwich Ave,"West Village, Downtown Manhattan, Manhattan","$2,613",Studio,1_Bath,
https://www.renthop.com/listings/1370-saint-nicholas-ave/15l/15781091,"1370 Saint Nicholas Ave, Apt 1...","Washington Heights, Upper Manhattan, Manhattan","$1,850",Studio,1_Bath,
https://www.renthop.com/listings/37-51-79th-st/6j/15856392,"37-51 79th St, Apt 6J","Jackson Heights, Northwestern Queens, Queens","$1,695",Studio,1_Bath,
