url,address,neighborhood,rent,beds,baths,flexs,zip
https://www.renthop.com/listings/217-west-16th-st/na/15795879,217 West 16th St,"Chelsea, Midtown Manhattan, Manhattan","$2,825",1,1,0,
https://www.renthop.com/listings/2nd-avenue-80s/12/15685857,2nd Avenue 80s,"Lenox Hill, Upper East Side, Upper Manhattan, Manhattan","$2,195",1,1,0,
https://www.renthop.com/listings/west-37th-street/33d/15842412,West 37th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,310",1,1,0,
https://www.renthop.com/listings/east-92nd-street/29596/15524847,East 92nd Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$14,500",3,2,0,
https://www.renthop.com/listings/mulberry-street/6/15859676,Mulberry street,"Little Italy, Downtown Manhattan, Manhattan","$2,390",0,1,0,
https://www.renthop.com/listings/front-street-with-private-elevator/5c/15856855, front street with private el...,"Financial District, Downtown Manhattan, Manhattan","$5,750",2,2,0,
https://www.renthop.com/listings/171-5th-avenue/2f/15803195,"171 5th Avenue, Apt 2F","North Slope, Park Slope, South Brooklyn, Brooklyn","$2,400",1,1,0,
https://www.renthop.com/listings/west-43rd-street/n9k/15826533,West 43rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan","$3,500",1,1,0,
https://www.renthop.com/listings/646-franklin-ave/1/15664525,"646 Franklin Ave, Apt #1","Crown Heights, Central Brooklyn, Brooklyn","$2,999",3,2,0,
https://www.renthop.com/listings/center-boulevard/727/15674354,Center Boulevard,"Hunters Point, Long Island City, Northwestern Queens, Queens","$4,450",2,2,0,
https://www.renthop.com/listings/nelson-ave/1g/15864443,Nelson Ave,"Highbridge, West Bronx, Bronx","$1,550",0,1,0,
https://www.renthop.com/listings/1-duffield-st-brooklyn-ny-11201-usa/na/15694417,"1 Duffield St, Brooklyn, Ny 11...","Downtown Brooklyn, Northwestern Brooklyn, Brooklyn","$2,999",1,1,0,
https://www.renthop.com/listings/350-east-58th-street/2c/15857828,"350 East 58th Street, Apt 2C","Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$2,695",1,1,0,
https://www.renthop.com/listings/e-74th-st/3a/15851189,E 74th St.,"Upper East Side, Upper Manhattan, Manhattan","$2,300",0,1,0,
https://www.renthop.com/listings/94th-st-broadway/na/15864437,94th St & Broadway,"Upper West Side, Upper Manhattan, Manhattan","$2,850",1,1,0,
https://www.renthop.com/listings/930-dekalb-ave/na/15780032,930 Dekalb Ave,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$2,300",2,1,0,
https://www.renthop.com/listings/930-dekalb-ave/na/15780032,930 Dekalb Ave,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn","$2,300",2,1,0,
https://www.renthop.com/listings/477-park-pl/4f/15815997,"477 Park Pl, Apt 4F","Prospect Heights, Northwestern Brooklyn, Brooklyn","$3,100",3,2,0,
https://www.renthop.com/listings/east-78th-street/mr164/15853591,East 78th Street,"Upper East Side, Upper Manhattan, Manhattan","$3,250",1,1,2,
https://www.renthop.com/listings/e-26th-st/4b/15853311,E 26th St.,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan","$2,495",2,1,0,
https://www.renthop.com/listings/8-spruce-street/24t/15058116,"8 Spruce Street, Apt 24T","Financial District, Downtown Manhattan, Manhattan","$6,992",2,2,0,
https://www.renthop.com/listings/325-west-21st-street/19/15769195,"325 West 21st Street, Apt 19","Chelsea, Midtown Manhattan, Manhattan","$3,500",0,1,0,
https://www.renthop.com/listings/first-avenue/4fs/15840351,First Avenue,"Upper East Side, Upper Manhattan, Manhattan","$3,300",2,1,0,
https://www.renthop.com/listings/320-e-46/g/14292889,320 E 46,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan","$4,995",1,2,2,
https://www.renthop.com/listings/3rd-avenue-80th/4s/15573196,3rd Avenue 80th,"Upper East Side, Upper Manhattan, Manhattan","$2,653",2,1,0,
https://www.renthop.com/listings/west-21st-street/3c/15831027,West 21st Street,"Chelsea, Midtown Manhattan, Manhattan","$2,300",0,1,0,
https://www.renthop.com/listings/419-w-129th-st/24/15809780,"419 W 129th St, Apt 24","Manhattanville, West Harlem, Upper Manhattan, Manhattan","$3,500",3,1,0,
https://www.renthop.com/listings/2-gold-street/701/15855959,"2 Gold Street, Apt 701","Financial District, Downtown Manhattan, Manhattan","$4,750",2,1,3,
https://www.renthop.com/listings/liberty-street/ph12/15572774,Liberty Street ,"Financial District, Downtown Manhattan, Manhattan","$7,950",3,2,4,
https://www.renthop.com/listings/east-32nd-street/glh/15831738,East 32nd Street,"Murray Hill, Midtown Manhattan, Manhattan","$2,300",0,1,0,
https://www.renthop.com/listings/first-ave/4a/5131377,First ave ,"East Village, Downtown Manhattan, Manhattan","$4,595",3,1,0,
https://www.renthop.com/listings/halletts-point/1420/15653387,Halletts Point,"Astoria, Northwestern Queens, Queens","$3,800",2,2,0,
https://www.renthop.com/listings/exchange-place/2601/15864372,Exchange Place,"Financial District, Downtown Manhattan, Manhattan","$3,673",1,1,0,
